Target_Class,Target_Class_CN,Site_Month,Site_ID,YearMonth,Month,n_all_valid_hours,Macro_Mean_SiteMonth_AllValid,Macro_SD_SiteMonth_AllValid,Target_n_hours,Normal_n_hours_for_pair,Target_Macro_SD,Normal_Macro_SD_for_pair,Pass_Hours,Pass_Target_Macro_SD,Pass_Normal_Macro_SD,Pass_Hours_Plus_Macro_SD
Severe,重度干旱,95332230_2025-08,95332230,2025-08,8,744,28.65699573742446,3.426334125447626,120,264,3.646629205405056,3.005726034345654,True,True,True,True
Severe,重度干旱,95332230_2025-09,95332230,2025-09,9,720,28.308441400527954,3.5299534308312905,96,240,3.464035841605735,3.536203858638008,True,True,True,True
Severe,重度干旱,95332230_2025-10,95332230,2025-10,10,744,24.3646887271635,6.393198776635443,0,720,,6.414457991221099,False,False,True,False
Severe,重度干旱,95332230_2025-11,95332230,2025-11,11,720,14.658853269285625,5.268588824213251,0,456,,5.459137135634111,False,False,True,False
Severe,重度干旱,95332230_2025-12,95332230,2025-12,12,736,12.371386107826686,5.140599355300775,0,96,,4.597109866823206,False,False,True,False
Severe,重度干旱,95332231_2025-01,95332231,2025-01,1,288,10.334346470132004,5.055858238648678,24,0,3.463931332375222,,False,True,False,False
Severe,重度干旱,95332231_2025-02,95332231,2025-02,2,672,9.626555352083718,4.044440244479049,0,48,,2.9149934306795777,False,False,True,False
Severe,重度干旱,95332231_2025-03,95332231,2025-03,3,744,14.315758226379272,6.856692355092776,0,216,,5.270156847873721,False,False,True,False
Severe,重度干旱,95332231_2025-04,95332231,2025-04,4,720,19.20419546034601,4.731258527458792,0,552,,4.330414056115732,False,False,True,False
Severe,重度干旱,95332231_2025-05,95332231,2025-05,5,744,22.303023163990307,3.4759424178419738,0,528,,3.290345219655673,False,False,True,False
Severe,重度干旱,95332231_2025-06,95332231,2025-06,6,720,26.289943650033738,3.105454207934954,24,120,3.3428952530271405,2.8234377176820167,False,True,True,False
Severe,重度干旱,95332231_2025-07,95332231,2025-07,7,744,27.111739161194013,3.1792228465500396,0,408,,2.605582191013711,False,False,True,False
Severe,重度干旱,95332231_2025-08,95332231,2025-08,8,744,27.943089267259005,3.238767128832234,216,240,3.3010521702734965,3.1864987501758932,True,True,True,True
Severe,重度干旱,95332231_2025-09,95332231,2025-09,9,720,27.273410079214308,3.1421052701684444,96,192,2.9912873436801815,2.9247556921003657,True,True,True,True
Severe,重度干旱,95332231_2025-10,95332231,2025-10,10,744,23.503203168992073,6.002305082887353,0,504,,5.868947099693328,False,False,True,False
Severe,重度干旱,95332231_2025-11,95332231,2025-11,11,720,14.637260398599837,4.951327048816964,0,336,,4.801392889612775,False,False,True,False
Severe,重度干旱,95332231_2025-12,95332231,2025-12,12,736,12.600923418836748,4.593345422017821,72,24,3.8878974563060362,4.36936430228443,False,True,True,False
Severe,重度干旱,95332232_2025-01,95332232,2025-01,1,288,10.250707940508923,5.271859787410602,0,0,,,False,False,False,False
Severe,重度干旱,95332232_2025-02,95332232,2025-02,2,672,10.354591441374007,4.561676802073783,168,24,3.8873349285849157,1.6620512248490549,False,True,True,False
Severe,重度干旱,95332232_2025-03,95332232,2025-03,3,744,14.235813995843293,6.421845302614894,0,192,,6.525330601990415,False,False,True,False
Severe,重度干旱,95332232_2025-04,95332232,2025-04,4,720,18.505144894785353,4.718146449661838,24,528,5.276539874556589,4.633159203590452,False,True,True,False
Severe,重度干旱,95332232_2025-05,95332232,2025-05,5,744,20.989087197088427,3.4129825825066646,48,216,1.9424906173146719,3.5147161242569096,False,True,True,False
