Site_ID,Station_Lon,Station_Lat,Matched_Grid_Lon,Matched_Grid_Lat,Event_ID,Start_Date,End_Date,Duration_Days,Min_Daily_SPI,Max_Daily_SPI,Min_SPI_Date,Max_SPI_Date,Severity,Drought_Level,Drought_Level_Code,Edge_Truncated,Drought_Extent_Peak(%),Drought_Extent_Union(%),Station_Event_Count_Total,Station_Event_Count_Light,Station_Event_Count_Moderate,Station_Event_Count_Severe,Station_Event_Count_Extreme
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,5,2025-08-07,2025-09-18,43,-2.204885721206665,-0.5367267727851868,2025-08-20,2025-09-17,59.23395770788193,Extreme,4,False,43.91,98.44,6,1,2,2,1
95332226.0,117.9129664,27.71936172,117.92498779296875,27.724998474121094,6,2025-12-10,2025-12-31,22,-1.4223864078521729,-0.6944834589958191,2025-12-30,2025-12-25,20.862781643867493,Moderate,2,True,87.49,92.81,6,1,2,2,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,1,2025-01-01,2025-02-05,36,-1.8445535898208618,-0.7127383351325989,2025-01-31,2025-01-16,42.11343777179718,Severe,3,True,98.8,100.0,7,1,2,3,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,2,2025-02-07,2025-03-02,24,-1.2221415042877197,-0.555412769317627,2025-02-25,2025-02-07,22.998075664043427,Moderate,2,False,93.52,100.0,7,1,2,3,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,3,2025-04-03,2025-04-08,6,-0.750921368598938,-0.6048771142959595,2025-04-03,2025-04-05,3.9220257997512817,Light,1,False,92.75,92.88,7,1,2,3,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,4,2025-04-13,2025-04-20,8,-1.4846724271774292,-0.8217519521713257,2025-04-13,2025-04-20,10.025166153907776,Moderate,2,False,92.65,93.49,7,1,2,3,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,5,2025-06-21,2025-07-20,30,-1.5740381479263306,-0.8177517056465149,2025-06-30,2025-06-24,33.78996628522873,Severe,3,False,96.6,99.57,7,1,2,3,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,6,2025-08-11,2025-09-23,44,-2.481644868850708,-0.5942792892456055,2025-08-20,2025-08-11,67.75691944360733,Extreme,4,False,43.91,98.46,7,1,2,3,1
95332227.0,117.7970728,27.56918588,117.77499389648438,27.574996948242188,7,2025-12-04,2025-12-31,28,-1.6538732051849365,-0.8487956523895264,2025-12-10,2025-12-09,32.977122366428375,Severe,3,True,38.04,92.81,7,1,2,3,1
95332228.0,118.1833673,27.68410527,118.17498779296875,27.67499542236328,1,2025-01-01,2025-02-05,36,-1.8838770389556885,-0.7126227617263794,2025-01-31,2025-01-16,44.839335560798645,Severe,3,True,98.8,100.0,7,1,3,2,1
