lat,lon,magnitude,duration,severity,onset
24.674995,116.725006,-1.3615233,2,2.4173956,202501
24.674995,116.82501,-1.3272458,2,2.3553267,202501
24.674995,116.875,-1.3445032,2,2.3172965,202501
24.674995,116.92499,-1.3189851,2,2.285505,202501
24.674995,116.975006,-1.3322551,2,2.3306246,202501
24.674995,117.024994,-1.2414253,2,2.1863198,202501
24.674995,117.07501,-1.2038214,2,2.1322842,202501
24.674995,117.125,-1.2060553,2,2.1450803,202501
24.674995,117.17499,-1.2493124,2,2.1570191,202501
24.674995,117.225006,-1.3060584,2,2.2448537,202501
24.674995,117.274994,-1.290348,2,2.1939392,202501
24.674995,117.32501,-1.2814642,2,2.1923196,202501
24.674995,117.375,-1.3342128,2,2.2617636,202501
24.674995,117.42499,-1.3450521,2,2.264824,202501
24.674995,117.475006,-1.4197531,2,2.3627908,202501
24.674995,117.524994,-1.4058208,2,2.3050246,202501
24.674995,117.57501,-1.385555,2,2.2789652,202501
24.674995,117.625,-1.404924,2,2.3313956,202501
24.674995,117.67499,-1.3975089,2,2.3926322,202501
24.674995,117.725006,-1.395337,2,2.3723435,202501
24.674995,117.774994,-1.4290941,2,2.301856,202501
24.674995,117.82501,-1.4699878,2,2.3578472,202501
24.674995,117.875,-1.4956106,2,2.4004185,202501
24.674995,117.92499,-1.5441589,2,2.485754,202501
24.674995,117.975006,-1.5578302,2,2.5151615,202501
24.674995,118.024994,-1.5475118,2,2.4348435,202501
24.674995,118.07501,-1.5229195,2,2.367606,202501
24.674995,118.125,-1.5701121,2,2.4354851,202501
24.674995,118.17499,-1.5762795,2,2.45857,202501
24.674995,118.225006,-1.5725123,2,2.495739,202501
24.674995,118.274994,-1.5754633,2,2.4266922,202501
24.674995,118.32501,-1.6015038,2,2.4402213,202501
24.674995,118.375,-1.6312313,2,2.4337716,202501
24.674995,118.42499,-1.5837749,2,2.4615357,202501
24.674995,118.475006,-1.5757866,2,2.4410515,202501
24.674995,118.524994,-1.6491365,2,2.5543349,202501
24.674995,118.57501,-1.6030196,2,2.4593103,202501
24.674995,118.625,-1.5938631,2,2.3828628,202501
24.724998,116.475006,-1.3150387,2,2.3544643,202501
24.724998,116.524994,-1.2761776,2,2.3012462,202501
24.724998,116.57501,-1.2873173,2,2.3143768,202501
24.724998,116.625,-1.2757789,2,2.299181,202501
24.724998,116.67499,-1.3029233,2,2.3494682,202501
24.724998,116.725006,-1.3531594,2,2.4374712,202501
24.724998,116.774994,-1.2610604,2,2.3038087,202501
24.724998,116.82501,-1.2801137,2,2.33281,202501
24.724998,116.875,-1.2795596,2,2.2807279,202501
24.724998,116.92499,-1.2795292,2,2.26022,202501
24.724998,116.975006,-1.2769454,2,2.2957404,202501
24.724998,117.024994,-1.1896238,2,2.154243,202501
24.724998,117.07501,-1.1905644,2,2.1295197,202501
24.724998,117.125,-1.2060217,2,2.147563,202501
24.724998,117.17499,-1.2386287,2,2.1589642,202501
24.724998,117.225006,-1.301307,2,2.2544217,202501
24.724998,117.274994,-1.2761915,2,2.1899538,202501
24.724998,117.32501,-1.2738296,2,2.2080076,202501
24.724998,117.375,-1.311422,2,2.2691374,202501
24.724998,117.42499,-1.3411752,2,2.2895296,202501
24.724998,117.475006,-1.3793787,2,2.3258674,202501
24.724998,117.524994,-1.3787528,2,2.2511406,202501
24.724998,117.57501,-1.3668243,2,2.2607574,202501
24.724998,117.625,-1.3866358,2,2.3001196,202501
24.724998,117.67499,-1.3990439,2,2.3811715,202501
24.724998,117.725006,-1.4068183,2,2.377909,202501
24.724998,117.774994,-1.421574,2,2.3037114,202501
24.724998,117.82501,-1.4398417,2,2.3343015,202501
24.724998,117.875,-1.4740939,2,2.3870592,202501
24.724998,117.92499,-1.4996251,2,2.4431481,202501
24.724998,117.975006,-1.5311038,2,2.4892726,202501
24.724998,118.024994,-1.552377,2,2.455567,202501
24.724998,118.07501,-1.5044446,2,2.3630285,202501
24.724998,118.125,-1.5305582,2,2.398914,202501
24.724998,118.17499,-1.5730196,2,2.4724495,202501
24.724998,118.225006,-1.6202492,2,2.5717707,202501
24.724998,118.274994,-1.643991,2,2.5188568,202501
24.724998,118.32501,-1.6159953,2,2.4845686,202501
24.724998,118.375,-1.6692059,2,2.4976208,202501
24.724998,118.42499,-1.5806916,2,2.4584882,202501
24.724998,118.475006,-1.5940957,2,2.428337,202501
24.724998,118.524994,-1.611759,2,2.5320911,202501
24.724998,118.57501,-1.60774,2,2.4793868,202501
24.724998,118.625,-1.5839707,2,2.40203,202501
24.724998,118.67499,-1.5285605,2,2.3082464,202501
24.724998,118.725006,-1.4656733,2,2.2696557,202501
24.774994,116.42499,-1.3482339,2,2.417401,202501
24.774994,116.475006,-1.3467584,2,2.4363937,202501
24.774994,116.524994,-1.3652672,2,2.4443,202501
24.774994,116.57501,-1.3757788,2,2.460373,202501
24.774994,116.625,-1.4188454,2,2.523993,202501
24.774994,116.67499,-1.4240042,2,2.5615735,202501
24.774994,116.725006,-1.3994387,2,2.5199022,202501
24.774994,116.774994,-1.3437676,2,2.4232965,202501
24.774994,116.82501,-1.3475854,2,2.4371433,202501
24.774994,116.875,-1.3547162,2,2.4092183,202501
24.774994,116.92499,-1.342779,2,2.374117,202501
24.774994,116.975006,-1.3231708,2,2.3129764,202501
24.774994,117.024994,-1.2563429,2,2.2148304,202501
24.774994,117.07501,-1.2521989,2,2.2445295,202501
24.774994,117.125,-1.2710416,2,2.2529702,202501
24.774994,117.17499,-1.3252051,2,2.308847,202501
24.774994,117.225006,-1.383528,2,2.4002285,202501
24.774994,117.274994,-1.3483435,2,2.3453667,202501
24.774994,117.32501,-1.3913302,2,2.3949552,202501
24.774994,117.375,-1.3658584,2,2.3647475,202501
24.774994,117.42499,-1.4020076,2,2.4250212,202501
24.774994,117.475006,-1.418058,2,2.431592,202501
24.774994,117.524994,-1.4526519,2,2.4438808,202501
24.774994,117.57501,-1.4568733,2,2.4664357,202501
24.774994,117.625,-1.5052382,2,2.5402527,202501
24.774994,117.67499,-1.5061656,2,2.5338154,202501
24.774994,117.725006,-1.5049698,2,2.5483322,202501
